districtname,commercial,construction,education,industrial,residential,retail
即墨区北安街道,0.0,0.0,2.0,3.0,3.0,0.0
即墨区大信镇,1.0,0.0,0.0,10.0,13.0,0.0
即墨区段泊岚镇,0.0,0.0,0.0,1.0,8.0,0.0
即墨区温泉街道,1.0,6.0,0.0,0.0,52.0,0.0
即墨区潮海街道,4.0,4.0,0.0,11.0,37.0,0.0
即墨区灵山镇,0.0,1.0,0.0,17.0,20.0,0.0
即墨区环秀街道,1.0,0.0,0.0,6.0,13.0,0.0
即墨区田横镇,0.0,0.0,0.0,7.0,15.0,0.0
即墨区移风店镇,0.0,0.0,0.0,0.0,15.0,0.0
即墨区蓝村镇,4.0,2.0,0.0,11.0,22.0,1.0
即墨区通济街道,17.0,11.0,0.0,27.0,105.0,4.0
即墨区金口镇,0.0,0.0,0.0,3.0,23.0,0.0
即墨区鳌山卫街道,18.0,17.0,0.0,0.0,75.0,0.0
即墨区龙山街道,5.0,1.0,0.0,6.0,15.0,1.0
即墨区龙泉街道,1.0,0.0,0.0,44.0,22.0,5.0
即墨市鳌山卫镇,0.0,0.0,0.0,0.0,0.0,0.0
城阳区上马街道,42.0,8.0,0.0,18.0,47.0,4.0
城阳区城阳街道,19.0,13.0,0.0,14.0,205.0,2.0
城阳区夏庄街道,0.0,1.0,0.0,20.0,94.0,2.0
城阳区惜福镇街道,0.0,1.0,0.0,14.0,62.0,1.0
城阳区棘洪滩街道,10.0,5.0,0.0,62.0,57.0,3.0
城阳区河套街道,0.0,3.0,0.0,4.0,12.0,0.0
城阳区流亭街道,10.0,5.0,0.0,35.0,72.0,2.0
城阳区红岛街道,0.0,0.0,0.0,4.0,8.0,0.0
崂山区中韩街道,72.0,21.0,1.0,33.0,229.0,10.0
崂山区北宅街道,4.0,0.0,0.0,2.0,29.0,0.0
崂山区沙子口街道,11.0,9.0,0.0,20.0,52.0,1.0
崂山区王哥庄街道,0.0,0.0,0.0,3.0,30.0,1.0
市北区兴隆路街道,3.0,3.0,0.0,7.0,34.0,1.0
市北区华阳路街道,4.0,7.0,0.0,9.0,26.0,0.0
市北区即墨路街道,5.0,1.0,0.0,2.0,44.0,0.0
市北区双山街道,4.0,5.0,0.0,2.0,28.0,5.0
市北区台东街道,10.0,3.0,0.0,4.0,69.0,1.0
市北区合肥路街道,2.0,1.0,0.0,4.0,32.0,0.0
市北区同安路街道,1.0,0.0,0.0,2.0,14.0,0.0
市北区嘉兴路街道,2.0,1.0,0.0,3.0,16.0,0.0
市北区大港街道,3.0,9.0,2.0,24.0,4.0,0.0
市北区宁夏路街道,1.0,0.0,0.0,2.0,44.0,1.0
市北区小港街道,2.0,3.0,0.0,3.0,3.0,1.0
市北区平安路街道,1.0,0.0,0.0,0.0,7.0,0.0
市北区延安路街道,1.0,1.0,0.0,2.0,23.0,0.0
市北区开平路街道,2.0,5.0,0.0,6.0,20.0,1.0
市北区敦化路街道,7.0,2.0,0.0,0.0,42.0,1.0
市北区杭州路街道,0.0,1.0,0.0,0.0,8.0,0.0
市北区水清沟街道,1.0,2.0,0.0,9.0,59.0,1.0
市北区河西街道,5.0,1.0,0.0,6.0,37.0,3.0
市北区洛阳路街道,3.0,2.0,0.0,2.0,46.0,1.0
市北区洪山坡街道,0.0,0.0,0.0,2.0,8.0,0.0
市北区浮山新区街道,3.0,0.0,0.0,1.0,13.0,0.0
市北区海伦路街道,11.0,0.0,1.0,0.0,53.0,2.0
市北区湖岛街道,2.0,3.0,0.0,4.0,13.0,0.0
市北区瑞昌路街道,0.0,0.0,0.0,0.0,13.0,0.0
市北区登州路街道,4.0,1.0,0.0,3.0,26.0,2.0
市北区辽宁路街道,4.0,1.0,0.0,0.0,17.0,0.0
市北区辽源路街道,14.0,3.0,0.0,4.0,68.0,5.0
市北区郑州路街道,4.0,3.0,0.0,1.0,0.0,0.0
市北区镇江路街道,4.0,0.0,0.0,1.0,18.0,0.0
市北区阜新路街道,1.0,0.0,0.0,2.0,20.0,1.0
市北区鞍山路街道,1.0,0.0,0.0,0.0,10.0,0.0
市南区中山路街道,5.0,4.0,0.0,2.0,44.0,2.0
市南区云南路街道,4.0,3.0,0.0,3.0,23.0,1.0
市南区八大关街道,4.0,1.0,0.0,2.0,33.0,0.0
市南区八大峡街道,0.0,0.0,0.0,2.0,17.0,0.0
市南区八大湖街道,2.0,1.0,0.0,5.0,70.0,2.0
市南区台西街道,2.0,0.0,0.0,1.0,52.0,0.0
市南区江苏路街道,2.0,1.0,0.0,1.0,38.0,0.0
市南区湛山街道,15.0,2.0,0.0,1.0,53.0,1.0
市南区珠海路街道,13.0,1.0,0.0,0.0,81.0,0.0
市南区观海路街道,1.0,2.0,0.0,1.0,2.0,0.0
市南区金口路街道,6.0,4.0,0.0,0.0,32.0,0.0
市南区金湖路街道,14.0,0.0,0.0,0.0,55.0,0.0
市南区金门路街道,3.0,0.0,0.0,2.0,96.0,0.0
市南区香港中路街道,18.0,2.0,0.0,2.0,78.0,5.0
李沧区九水路街道,18.0,16.0,0.0,13.0,127.0,5.0
李沧区兴华路街道,2.0,1.0,0.0,2.0,27.0,0.0
李沧区兴城路街道,3.0,1.0,0.0,8.0,18.0,0.0
李沧区振华路街道,0.0,2.0,0.0,8.0,15.0,0.0
李沧区李村街道,8.0,0.0,0.0,6.0,56.0,1.0
李沧区楼山街道,0.0,4.0,0.0,8.0,4.0,0.0
李沧区永安路街道,1.0,6.0,0.0,3.0,31.0,0.0
李沧区永清路街道,0.0,3.0,0.0,5.0,16.0,0.0
李沧区浮山路街道,6.0,3.0,0.0,5.0,48.0,4.0
李沧区湘潭路街道,1.0,1.0,0.0,3.0,13.0,0.0
李沧区虎山路街道,0.0,3.0,0.0,6.0,70.0,0.0
