,sensor_id,latitude,longitude,Fwy,Dir,District,County,City,State_PM,Abs_PM,Lanes,Name,CountyName,FwyName,CityName
0,773869,34.15497,-118.31829,134,E,7,37,8954,3.4,3.4,4,PARISH PL,Los Angeles,SR-134,Burbank
1,767541,34.11621,-118.23799,2,E,7,37,44000,16.4,8.962,4,34TH AVE,Los Angeles,SR-2,Los Angeles
2,767542,34.11641,-118.23819,2,W,7,37,44000,16.4,8.962,4,34TH AVE,Los Angeles,SR-2,Los Angeles
3,717447,34.07248,-118.26772,101,N,7,37,44000,2.94,4.288,4,ALVARADO,Los Angeles,US-101,Los Angeles
4,717446,34.07142,-118.26572,101,S,7,37,44000,2.79,4.138,4,ALVARADO,Los Angeles,US-101,Los Angeles
5,717445,34.06913,-118.25932,101,N,7,37,44000,2.42,3.768,4,GLENDALE,Los Angeles,US-101,Los Angeles
6,773062,34.05368,-118.23369,101,S,7,37,44000,0.45,1.798,4,GAREY STREET,Los Angeles,US-101,Los Angeles
7,767620,34.13486,-118.22932,2,E,7,37,44000,R18,10.562,4,N/O YORK BLVD,Los Angeles,SR-2,Los Angeles
8,737529,34.20264,-118.47352,405,S,7,37,44000,42.45,66.222,4,SHERMAN WAY 2,Los Angeles,I-405,Los Angeles
9,717816,34.15562,-118.4686,405,S,7,37,44000,39.09,62.862,5,VENTURA,Los Angeles,I-405,Los Angeles
10,765604,34.16415,-118.38223,170,N,7,37,44000,R15.26,2.346,4,MAGNOLIA,Los Angeles,SR-170,Los Angeles
11,767471,34.15691,-118.22469,2,W,7,37,44000,R19.47,12.032,6,N/O CHEVY CHASE DR,Los Angeles,SR-2,Los Angeles
12,716339,34.07821,-118.28795,101,S,7,37,44000,4.2,5.548,4,VERMONT,Los Angeles,US-101,Los Angeles
13,773906,34.1566,-118.30266,134,W,7,37,44000,4.8,4.8,4,W/O RIVERSIDE,Los Angeles,SR-134,Los Angeles
14,765273,34.18949,-118.47437,405,S,7,37,44000,41.48,65.252,4,VICTORY 2,Los Angeles,I-405,Los Angeles
15,716331,34.07006,-118.26246,101,S,7,37,44000,2.56,3.908,4,GLENDALE,Los Angeles,US-101,Los Angeles
16,771667,34.07314,-118.23388,110,N,7,37,44000,25.08,25.01,4,SOLANO AVE,Los Angeles,I-110,Los Angeles
17,716337,34.07732,-118.28186,101,N,7,37,44000,3.84,5.188,4,SILVER LAKE,Los Angeles,US-101,Los Angeles
18,769953,34.20672,-118.19992,210,W,7,37,39003,R19.8,19.78,4,ANGELES CREST HWY NB,Los Angeles,I-210,La Canada-Flintridge
19,769402,34.12095,-118.33911,101,N,7,37,44000,8.6,9.948,6,N/O HIGHLAND,Los Angeles,US-101,Los Angeles
20,769403,34.12073,-118.33928,101,S,7,37,44000,8.6,9.948,4,N/O HIGHLAND,Los Angeles,US-101,Los Angeles
